2025-09-25 12:29:28 | Cycle=164 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:28
2025-09-25 12:29:29 | Cycle=164 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:29
2025-09-25 12:29:29 | Cycle=164 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:29
2025-09-25 12:29:29 | Cycle=164 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:29
2025-09-25 12:29:29 | Cycle=164 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:29
2025-09-25 12:29:29 | Cycle=165 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:29
2025-09-25 12:29:30 | Cycle=165 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:30
2025-09-25 12:29:30 | Cycle=165 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:30
2025-09-25 12:29:30 | Cycle=165 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:30
2025-09-25 12:29:30 | Cycle=165 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:30
2025-09-25 12:29:31 | Cycle=165 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:31
2025-09-25 12:29:31 | Cycle=165 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:31
2025-09-25 12:29:31 | Cycle=165 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:31
2025-09-25 12:29:31 | Cycle=165 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:31
2025-09-25 12:29:32 | Cycle=165 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:32
2025-09-25 12:29:32 | Cycle=165 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:32
2025-09-25 12:29:32 | Cycle=165 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:32
2025-09-25 12:29:32 | Cycle=165 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:32
2025-09-25 12:29:32 | Cycle=166 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:32
2025-09-25 12:29:33 | Cycle=166 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:33
2025-09-25 12:29:33 | Cycle=166 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:33
2025-09-25 12:29:33 | Cycle=166 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:33
2025-09-25 12:29:33 | Cycle=166 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:33
2025-09-25 12:29:34 | Cycle=166 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:34
2025-09-25 12:29:34 | Cycle=166 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:34
2025-09-25 12:29:34 | Cycle=166 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.00 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:34
2025-09-25 12:29:34 | Cycle=166 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=26 | CMD3=1a0014 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:34
2025-09-25 12:29:34 | Cycle=166 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:34
2025-09-25 12:29:35 | Cycle=166 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:35
2025-09-25 12:29:35 | Cycle=166 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:35
2025-09-25 12:29:35 | Cycle=166 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:35
2025-09-25 12:29:35 | Cycle=166 | StarMAC=00:00:00:00:00:00 | TagID=17658109 | RSSI=-52.50 dBm | MonID=0 | CMD=0 | IR=0 | Ver=119 | Astar=900 | LBI=2593 | CMD3=210a07 | EKEY=0 | LF=146 | Status=00001000 | DevTS=2025-09-25 12:29:35
